BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     Entering SWIFT Code.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     Entering SWIFT Code.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
